corona_filter;others_infected;corona_income_1;gender;leftright;country;news_avoid_c;intentional_news_c;misinfo_c;disinfo_c;education_new;age4;dummy_dismis;compliance
3;2;0;1;6;1;1;1;4,5;4;2;41;0;7
3;2;100;1;5;1;2;3;4;5;2;21;1;6,85714292526245
3;2;20;1;5;1;4;1;5;4;3;54;0;6,14285707473755
3;2;50;2;7;1;4;4;4;4;3;45; ;4
3;2;0;2;9;1;4;3;4,5;4,5;3;35; ;6,2857141494751
3;2;60;1;3;1;1;7;7;5;3;23;0;6,85714292526245
3;2;1;2;5;1;1;6;5;5;3;25; ;3,71428561210632
3;2;70;1;9;1;6;5;5;5;3;38; ;5,85714292526245
2;2;0;2;10;1;1;6;6;6;3;41; ;5,85714292526245
2;2;40;1;6;1;4;3;5;6;2;32;1;6,57142877578735
3;1;0;1;6;1;1;7;3;4;1;26;1;6,2857141494751
3;2;0;2;5;1;2;6;4,5;2,5;3;36;0;5
3;2;1;1;3;1;1;7;4;4;3;40; ;6,57142877578735
3;1;0;1;5;1;1;7;3;3,5;2;34;1;7
3;2;0;1;6;1;3;4;6;4;2;43;0;7
2;2;5;1;6;1;7;1;3;3;2;22; ;4,14285707473755
3;2;1;2;6;1;1;7;4,5;3;2;62;0;6,7142858505249
2;1;58;2;8;1;5;3;5;4;3;33;0;5
3;2;31;2;4;1;3;5;5;5;2;19; ;5,42857122421265
3;1;70;1;4;1;1;5;4,5;4;3;48;0;7
3;2;0;1;6;1;1;5;4,5;5;2;43;1;7
3;2;22;1;9;1;1;7;4;4;3;44; ;6,7142858505249
3;2;1;2;6;1;1;5;5,5;6;1;61;1;6,2857141494751
3;2;1;1;3;1;4;3;7;5;3;22;0;6,7142858505249
3;2;0;2;8;1;4;4;4;4;3;34; ;4
3;2;0;1;3;1;1;7;6;3;3;26;0;7
3;2;3;2;4;1;2;3;4,5;3,5;3;57;0;6,57142877578735
2;2;41;1;4;1;3;4;6;5;3;31;0;6,14285707473755
3;2;4;2;6;1;2;6;6;5,5;2;40;0;6,57142877578735
3;2;1;1;11;1;4;5;7;7;2;30; ;6,2857141494751
3;2;40;1;6;1;3;3;4;4;3;36; ;6,85714292526245
3;2;0;2;9;1;3;5;5,5;5;3;56;0;6,2857141494751
3;2;0;2;7;1;1;5;4,5;4;3;61;0;5,42857122421265
3;2;10;1;4;1;1;6;5,5;5,5;3;58; ;7
3;2;30;1;11;1;1;7;4;5;1;36;1;7
3;2;51;1;8;1;1;5;4;3;3;53;0;6,85714292526245
3;2;19;2;8;1;4;3;5,5;4,5;3;65;0;4,7142858505249
3;1;0;2;7;1;2;4;5;4,5;2;53;0;4,14285707473755
3;2;1;1;6;1;2;4;6;5,5;3;22;0;6,2857141494751
3;2;20;2;3;1;1;4;6;3,5;3;53;0;6,85714292526245
4;2;1;2;8;1;4;3;4;4;1;62; ;4,85714292526245
3;2;29;1;8;1;1;3;5;5;2;63; ;7
3;2;1;2;8;1;1;7;6,5;4;3;59;0;7
3;2;0;1;6;1;2;3;4,5;4;1;56;0;2,71428561210632
3;1;0;1;6;1;1;6;5,5;5;3;65;0;7
3;2;9;1;4;1;1;3;6;3,5;1;64;0;6,14285707473755
3;2;0;1;6;1;7;1;7;7;1;27; ;6,85714292526245
3;2;2;1;9;1;1;1;4,5;4,5;2;62; ;4,85714292526245
3;2;0;1;6;1;3;2;5;4,5;3;29;0;6,42857122421265
3;2;50;1;6;1;2;4;5,5;5;3;20;0;6,42857122421265
2;1;32;2;8;1;1;5;6,5;5;3;31;0;5,14285707473755
3;2;1;1;5;1;1;7;4;2;3;61;0;6,42857122421265
3;2;10;2;11;1;2;5;2;2,5;2;21;1;5,85714292526245
3;1;0;2;4;1;3;4;4;4;2;65; ;4
3;2;0;2;7;1;1;3;3,5;4;2;62;1;6,85714292526245
3;2;0;1;1;1;3;6;5;5;2;20; ;5,85714292526245
3;2;1;1;4;1;1;7;1,5;4;3;65;1;7
3;2;1;1;7;1;1;6;2;2;2;66; ;6
4;3;50;2;6;1;4;4;7;7;3;100; ;4
3;2;0;1;8;1;5;3;5;5;3;47; ;6,2857141494751
3;1;0;1;5;1;6;2;4;4;3;42; ;6,42857122421265
3;2;0;2;7;1;1;5;6;2;3;60;0;4,2857141494751
3;2;0;2;7;1;1;5;3,5;2,5;2;59;0;4,2857141494751
3;2;4;1;9;1;5;2;6;4,5;3;32;0;5,85714292526245
3;2;0;2;9;1;1;7;6;6;2;63; ;6
3;2;1;2;3;1;2;5;5;4,5;2;57;0;5,42857122421265
3;2;10;1;3;1;1;5;5,5;5;2;22;0;4,85714292526245
3;2;1;1;5;1;2;6;4,5;3,5;3;46;0;6,14285707473755
3;1;9;2;5;1;2;5;1;1;3;43; ;7
2;2;19;2;2;1;3;3;3,5;2,5;2; ;0;3,14285707473755
3;2;31;2;6;1;1;3;5;3,5;2;58;0;7
3;2;11;1;6;1;6;5;6;5;3;30;0;4,85714292526245
3;2;1;1;1;1;3;3;3;3;1;43; ;3
3;2;0;1;6;1;1;6;5,5;3,5;3;30;0;5,7142858505249
2;2;1;2;6;1;2;7;6,5;5,5;2;50;0;6,7142858505249
2;2;15;1;7;1;2;7;6;3,5;3;48;0;6,7142858505249
3;1;9;1;1;1;1;6;4,5;4;3;24;0;6,42857122421265
3;2;40;1;8;1;2;4;6,5;7;3;38;1;6,14285707473755
3;2;0;1;8;1;1;5;4,5;3;2;57;0;6,14285707473755
3;2;0;2;6;1;4;1;6,5;4;3;66;0;6,57142877578735
3;2;9;1;6;1;1;2;1,5;1;2;48;0;6,2857141494751
3;2;78;2;6;1;1;4;5,5;3,5;3;58;0;7
3;2;0;2;9;1;2;1;4,5;2,5;3;50;0;5,7142858505249
3;2;4;2;6;1;5;3;5,5;5;1;27;0;3,85714292526245
3;2;22;2;7;1;3;6;4;4,5;1;45;1;6,85714292526245
3;2;60;1;5;1;2;6;6;5;2;19;0;6,14285707473755
3;1;0;2;6;1;2;7;3;5;3;52;1;6,14285707473755
3;2;0;2;7;1;3;5;5,5;4;3;23;0;6,14285707473755
3;2;0;2;6;1;3;1;6;5,5;2;44;0;5,2857141494751
3;2;0;2;6;1;2;7;4;2;3;63;0;6,7142858505249
3;1;0;1;8;1;1;1;1;1;2;61; ;3,14285707473755
3;2;100;1;5;1;3;5;5;3,5;3;20;0;5,42857122421265
3;2;0;1;6;1;1;5;5;4,5;2;52;0;6,57142877578735
3;2;0;2;6;1;5;5;2,5;4;1;19;1;6,2857141494751
3;2;28;1;7;1;2;6;3;2,5;3;26;0;5,42857122421265
3;2;0;2;8;1;1;7;6,5;4,5;3;52;0;6,42857122421265
3;2;19;1;5;1;1;4;4,5;5,5;2;60;1;5,14285707473755
2;2;42;1;6;1;3;5;6,5;5,5;3;54;0;6,42857122421265
2;2;34;2;6;1;4;4;3,5;3,5;2;37; ;3,28571438789368
3;2;100;2;8;1;2;6;6,5;6,5;3;54; ;6
3;2;27;1;7;1;2;5;5,5;3,5;1;20;0;5,85714292526245
3;2;10;2;6;1;7;7;7;7;3;33; ;6
3;2;25;1;4;1;2;6;5,5;4;3;58;0;7
3;2;100;1;10;1;1;7;7;4,5;3;48;0;6,42857122421265
3;1;0;1;11;1;1;1;3;3;2;65; ;7
3;1;100;1;7;1;1;6;6;4,5;2;52;0;6,7142858505249
3;2;0;1;3;1;4;2;3;3;3;22; ;5,85714292526245
3;2;0;2;8;1;5;3;5,5;4,5;2;46;0;6,42857122421265
3;1;0;1;9;1;1;7;5;3,5;2;33;0;7
3;1;0;2;4;1;1;6;6;4;3;62;0;6,57142877578735
2;2;0;2;4;1;4;4;5;5;2;20; ;4,14285707473755
3;2;19;2;6;1;2;5;4;4,5;2;38;1;5,7142858505249
3;2;19;2;8;1;4;3;5;4,5;3;1967;0;5,85714292526245
2;1;1;1;3;1;2;5;3,5;2;3;54;0;7
3;2;42;1;3;1;4;5;3;3,5;3;28;1;4,2857141494751
3;2;5;1;8;1;4;4;3;3;2;44; ;3
2;1;16;2;8;1;1;5;5,5;4;3;21;0;5,7142858505249
3;2;0;1;9;1;7;3;7;7;3;56; ;5
2;2;14;1;2;1;1;7;7;5,5;3;50;0;5,2857141494751
3;2;0;2;5;1;2;6;4,5;5;3;60;1;6,14285707473755
3;2;0;2;6;1;1;6;5;4;3;60;0;6,42857122421265
3;1;0;2;1;1;1;7;6;4,5;2;63;0;7
3;1;0;1;7;1;2;6;5,5;4;2;27;0;5,57142877578735
3;2;30;2;3;1;4;4;4;4,5;2;60;1;4,14285707473755
3;2;10;1;8;1;2;5;6,5;5;3;24;0;5,14285707473755
2;2;100;1;11;1;1;7;3,5;4,5;3;33;1;7
3;2;28;2;4;1;4;5;6;4;2;19;0;5,7142858505249
3;2;32;1;6;1;2;7;5,5;5,5;1;54; ;5,42857122421265
3;2;0;2;3;1;1;1;1,5;4;2;38;1;6,14285707473755
3;2;10;2;9;1;6;6;5,5;6;2;59;1;6,42857122421265
3;2;0;1;6;1;4;3;4,5;4,5;2;45; ;5,2857141494751
3;2;0;2;1;1;3;6;3,5;5,5;1;54;1;5,2857141494751
3;2;0;1;8;1;1;4;5;5;3;48; ;7
3;3;11;1;5;1;1;7;6;5;3;24;0;7
3;2;1;1;6;1;1;6;2;2;3;44; ;7
3;1;0;2;7;1;2;2;5,5;4;2;21;0;5,57142877578735
3;2;1;2;8;1;3;5;5,5;4,5;2;51;0;7
2;2;0;1;5;1;3;5;2,5;3;1;55;1;6,85714292526245
3;2;0;1;6;1;3;6;4;5;2;42;1;7
3;2;11;1;3;1;2;6;1,5;1;3;29;0;7
3;2;29;1;6;1;1;7;5,5;5,5;2;24; ;6,57142877578735
3;2;40;1;7;1;2;6;5,5;5,5;1;2019; ;6,42857122421265
3;2;51;2;6;1;4;4;4;4;1;23; ;4
3;1;0;1;3;1;1;7;5,5;4,5;1;28;0;7
3;2;11;1;4;1;2;3;3,5;4;3;47;1;6,7142858505249
3;2;18;1;4;1;1;7;5;4;2;40;0;5,85714292526245
3;2;10;1;5;1;4;5;5;4,5;2;59;0;3,85714292526245
3;2;7;2;6;1;4;7;5,5;4;1;55;0;5
3;2;0;2;8;1;1;1;3;3;2;54; ;7
3;2;1;1;4;1;1;5;5;5,5;2;58;1;6,42857122421265
3;2;14;2;9;1;4;4;5,5;4,5;3;142;0;4,85714292526245
3;1;0;1;4;1;2;1;4;2,5;3;23;0;6,14285707473755
3;2;4;1;7;1;4;4;5,5;6;1;65;1;6
2;2;0;1;6;1;3;1;3,5;5;3;25;1;4,85714292526245
3;2;0;1;2;1;1;7;5;4;2;43;0;7
2;2;0;2;8;1;7;1;5,5;5,5;2;40; ;6
2;2;0;1;8;1;2;2;4;4,5;3;49;1;5,57142877578735
3;2;100;2;7;1;7;7;1;1;2;50; ;6,7142858505249
3;2;1;1;2;1;3;3;3,5;3,5;2;61; ;2,85714292526245
3;2;23;1;6;1;1;5;6;6;2;34; ;7
3;2;2;1;6;1;1;7;5,5;4;2;63;0;6,2857141494751
3;2;1;2;8;1;1;7;5,5;5;3;36;0;6,85714292526245
2;2;7;1;9;1;1;6;5;3;3;24;0;6,57142877578735
3;2;21;1;7;1;1;3;4;2,5;1;51;0;6,85714292526245
3;2;8;1;9;1;1;7;5;3,5;3;47;0;6,2857141494751
3;2;0;2;1;1;3;6;5;4;2;49;0;6,85714292526245
2;1;30;2;5;1;2;6;4;4,5;1;53;1;6,7142858505249
3;2;0;1;4;1;3;4;5;5;3;24; ;6,7142858505249
3;2;0;1;3;1;7;7;2,5;2;3;66;0;7
3;2;0;1;4;1;2;6;4,5;4,5;3;46; ;6,7142858505249
3;1;10;2;4;1;1;6;5,5;4,5;2;19;0;5
3;2;1;1;6;1;2;5;4;4;1;55; ;4,7142858505249
2;2;0;1;3;1;3;5;2,5;2,5;2;24; ;7
3;2;0;1;6;1;5;3;5;5,5;2;41;1;5,42857122421265
3;2;0;1;4;1;1;7;4,5;1,5;3;54;0;5,85714292526245
3;2;50;2;7;1;6;6;4;4,5;2;22;1;6,7142858505249
3;2;0;1;6;1;1;3;4;4;2;65; ;5,2857141494751
3;2;6;1;5;1;4;3;2,5;2;1;46;0;5
3;2;5;1;6;1;4;5;4;4;2;41; ;4,2857141494751
3;2;1;1;5;1;1;5;5,5;4,5;1;66;0;7
2;2;0;1;4;1;1;5;4;3;2;30;0;6,14285707473755
3;2;0;1;6;1;1;7;4,5;4;2;25;0;6,7142858505249
3;1;0;1;7;1;1;7;4;2;3;43;0;6,85714292526245
3;2;0;1;6;1;4;4;4;4,5;2;41;1;4,42857122421265
3;2;20;2;6;1;1;2;6,5;5;2;30;0;7
3;2;10;1;7;1;1;6;4;3;3;29;0;6,42857122421265
3;2;2;1;4;1;3;2;4;4;1;43; ;5,2857141494751
3;2;1;1;9;1;4;4;3;5;2;47;1;7
3;2;60;1;6;1;3;5;3;4,5;2;61;1;5,2857141494751
2;2;0;1;5;1;3;6;3,5;4,5;2;53;1;6,7142858505249
3;2;0;1;9;1;1;7;3,5;3;3;55;0;7
3;2;0;2;7;1;1;7;6,5;6,5;2;31; ;6,14285707473755
3;2;2;1;4;1;7;7;3;3,5;1;59;1;7
3;2;0;2;6;1;6;2;5;5;3;23; ;6,42857122421265
3;2;11;2;8;1;3;4;6;5;2;39;0;5,85714292526245
2;2;0;2;7;1;2;6;6;6;3;54; ;6
3;2;10;1;9;1;1;6;5,5;5;3;50;0;5,42857122421265
3;2;5;1;6;1;1;5;4,5;3;2;27;0;5,42857122421265
3;2;0;1;6;1;1;7;5;4;2;33;0;6,57142877578735
3;2;0;1;7;1;4;3;4,5;3;2;43;0;5,85714292526245
3;2;43;1;3;1;5;3;5,5;4,5;3;43;0;6,57142877578735
2;2;0;1;6;1;1;7;5;5,5;1;62;1;7
2;2;6;1;7;1;1;6;2;4,5;2;37;1;6,42857122421265
3;1;18;2;7;1;3;3;3,5;3,5;2;1985; ;3,42857146263123
3;1;30;2;3;1;2;4;1,5;2;2;23;1;3,28571438789368
3;2;20;1;6;1;3;6;5;6;2;66;1;5,14285707473755
3;2;24;1;6;1;3;4;5;4,5;2;27;0;5,57142877578735
3;2;10;2;5;1;2;5;4;4,5;3;25;1;5,14285707473755
3;2;0;1;6;1;2;6;5,5;5;1;61;0;6,42857122421265
3;2;0;2;2;1;2;6;5;4,5;2;55;0;5,85714292526245
3;2;8;1;6;1;2;2;3;3;2;39; ;4
3;2;0;2;6;1;1;7;6;7;2;52;1;3,57142853736877
3;2;3;1;6;1;1;5;4;3,5;1;44;0;6,57142877578735
3;1;7;1;8;1;2;5;6;4,5;2;64;0;6,85714292526245
3;2;1;1;8;1;3;1;3;3,5;1;44;1;6
3;1;35;1;7;1;5;2;3;4;3;30;1;4,7142858505249
3;2;1;2;5;1;3;5;6;5;3;53;0;5,2857141494751
3;2;1;1;6;1;1;2;4;4;1;58; ;6,85714292526245
3;1;90;1;6;1;2;6;3;2,5;2;56;0;6,7142858505249
3;2;25;2;6;1;3;4;4,5;4;1;52;0;6
3;2;0;1;4;1;1;4;5,5;5;3;47;0;6,57142877578735
3;2;5;2;8;1;4;2;5;5,5;2;55;1;6,42857122421265
3;2;30;2;5;1;2;6;4,5;4,5;3;55; ;6,2857141494751
3;2;2;1;5;1;5;3;4;4;3;43; ;5,85714292526245
3;2;70;2;6;1;1;6;4;4;3;46; ;7
3;1;8;1;4;1;2;7;5,5;4;3;41;0;6,2857141494751
3;1;100;2;11;1;3;6;3;2;2;21;0;4,7142858505249
3;2;2;2;10;1;2;2;5,5;4,5;1;22;0;6,7142858505249
3;1;0;1;6;1;1;7;4,5;4,5;3;48; ;6,7142858505249
3;2;25;2;7;1;1;6;4,5;5,5;3;20;1;4,85714292526245
2;2;0;1;4;1;2;2;6,5;5,5;3;39;0;6,7142858505249
2;2;0;2;8;1;1;7;3;4;2;41;1;7
3;2;1;1;8;1;2;6;2;4;3;53;1;6
3;1;52;1;7;1;4;5;5,5;6;3;53;1;5,85714292526245
3;2;10;1;6;1;2;6;4;4;3;39; ;5,2857141494751
3;2;9;2;6;1;1;4;4,5;4,5;2;54; ;4
4;2;0;2;8;1;2;3;3;5;3;28;1;6,2857141494751
3;2;30;1;7;1;2;6;4;3,5;2;43;0;6,57142877578735
3;2;90;2;5;1;1;5;4;6;3;43;1;6,7142858505249
3;2;0;2;6;1;1;6;4;4;1;53; ;6,57142877578735
2;1;12;1;4;1;2;6;5;4,5;3;40;0;6,7142858505249
4;2;0;2;8;1;3;3;5;5;2;41; ;5,2857141494751
3;2;2;1;7;1;6;1;4;3,5;2;49;0;5,85714292526245
3;2;10;1;3;1;2;5;6;3,5;3;31;0;6
3;1;0;2;8;1;1;7;4;3;2;30;0;7
3;2;80;1;9;1;5;5;5,5;6;1;53;1;5,85714292526245
2;2;0;2;6;1;2;5;5;4,5;1;41;0;6,57142877578735
3;2;6;1;6;1;5;1;6;5,5;2;28;0;6
3;2;9;1;6;1;1;6;4;4,5;3;33;1;6,85714292526245
3;2;10;2;6;1;1;4;4;3,5;1;46;0;6,85714292526245
3;2;0;2;8;1;1;4;6;6,5;2;30;1;7
3;2;3;2;8;1;5;4;4;3;3;42;0;3,85714292526245
3;2;30;1;6;1;3;3;4;4;2;51; ;4
3;2;0;1;4;1;2;5;4;5;2;28;1;7
2;2;0;2;11;1;1;7;7;7;2;44; ;6,2857141494751
3;2;0;1;6;1;1;5;4;4;1;47; ;5,2857141494751
3;2;1;2;6;1;1;4;4;3,5;2;52;0;6,14285707473755
3;2;15;2;6;1;2;7;4;5;2;33;1;6,14285707473755
3;2;0;1;5;1;3;4;4;3,5;3;40;0;5,57142877578735
3;2;29;2;6;1;5;3;3,5;2,5;3;28;0;5,42857122421265
3;1;29;2;8;1;4;4;4;4;3;52; ;5,7142858505249
3;2;57;2;6;1;4;2;5,5;4,5;3;38;0;4,57142877578735
3;2;1;1;4;1;2;7;3,5;4;3;42;1;6,42857122421265
3;1;0;1;9;1;3;3;5;4,5;1;40;0;5,85714292526245
3;2;72;2;8;1;2;4;3,5;3,5;3;42; ;3,57142853736877
3;2;100;1;6;1;7;1;7;7;1;43; ;7
3;2;0;1;6;1;3;5;5,5;4,5;3;47;0;4,2857141494751
3;2;20;2;9;1;3;3;4,5;3,5;2;49;0;5,57142877578735
3;2;0;1;6;1;2;5;5,5;5;3;41;0;7
3;2;0;2;6;1;6;1;6,5;7;1;46;1;5,57142877578735
3;2;0;2;7;1;5;3;4,5;6;3;53;1;5,2857141494751
3;2;0;2;3;1;1;7;4,5;4,5;3;60; ;5,42857122421265
3;2;0;2;3;1;4;4;4,5;5;2;48;1;4,14285707473755
3;1;72;2;8;1;3;6;4,5;4;3;35;0;5
3;2;0;2;8;1;1;6;5,5;4;3;40;0;7
3;2;0;1;3;1;4;4;5;5;1;39; ;6,2857141494751
4;2;11;2;5;1;4;4;1,5;1;3;44;0;3,85714292526245
3;2;8;2;6;1;3;5;4,5;4;2;40;0;5
3;1;15;2;9;1;2;6;4,5;5;2;42;1;7
2;1;0;2;2;1;1;7;6,5;4,5;2;52;0;6,2857141494751
3;2;10;2;4;1;2;5;3,5;5;2;47;1;6,42857122421265
2;2;18;2;8;1;1;5;5;6,5;2;46;1;5,57142877578735
3;2;50;2;6;1;1;7;7;7;1;32; ;3,14285707473755
3;2;8;2;5;1;4;3;4;4,5;3;55;1;2,57142853736877
3;2;12;2;3;1;1;3;4;4;1;43; ;6,57142877578735
3;2;81;2;4;1;1;7;3,5;2,5;3; ;0;6,85714292526245
2;1;19;2;5;1;1;6;4;4;3;43; ;7
3;2;10;2;3;1;1;7;7;7;2;37; ;6,57142877578735
3;2;52;2;8;1;1;6;1,5;1,5;2;34; ;5,7142858505249
4;1;0;2;9;1;1;7;2,5;1;1;37;0;7
3;2;0;2;8;1;1;5;5;5;1;42; ;7
3;2;30;2;6;1;2;6;3,5;2;3;34;0;6,85714292526245
3;2;0;2;6;1;1;4;5,5;4;1;28;0;6,57142877578735
3;2;51;2;8;1;4;5;5;5;2;40; ;4,85714292526245
3;1;1;2;4;1;1;5;4,5;5;2;45;1;6
3;2;0;2;8;1;1;7;5;4;3;39;0;6,57142877578735
4;2;52;2;6;1;3;5;5;3,5;2;39;0;3,85714292526245
3;2;0;2;9;1;2;5;3;3;3;45; ;7
3;2;0;2;5;1;1;4;4;5;2;41;1;4,2857141494751
3;2;1;2;10;1;1;3;7;5;2;44;0;5,57142877578735
4;3;0;2;1;1;1;1;1;1;3;40; ;1
3;2;11;2;6;1;1;5;3,5;3;2;39;0;6,57142877578735
3;2;1;1;8;1;4;1;4,5;5,5;2;55;1;7
3;2;100;1;6;1;1;4;2;2;1;54; ;7
3;2;2;2;5;1;3;5;3,5;4,5;3;25;1;4,14285707473755
2;2;0;2;5;1;1;7;5;4,5;3;24;0;6,7142858505249
2;2;67;1;9;1;1;5;3,5;3;2;31;0;3,42857146263123
3;2;1;1;6;1;2;6;5;5;2;51; ;6,14285707473755
3;2;10;1;7;1;1;7;6,5;3,5;1;35;0;6,85714292526245
3;2;100;1;3;1;2;5;5;5;3;25; ;6,85714292526245
3;2;38;1;4;1;2;6;5;4;3;26;0;6
2;1;100;1;5;1;1;5;5;3;3;21;0;6,57142877578735
3;2;35;2;6;1;1;1;5,5;6,5;2;42;1;1,71428573131561
3;2;0;1;2;1;3;5;4,5;4,5;3;29; ;7
3;2;30;1;4;1;3;3;5,5;5,5;2;20; ;6,57142877578735
3;1;20;1;6;1;1;7;4,5;4,5;2;50; ;7
2;1;100;1;4;1;2;7;4,5;4,5;3;62; ;6,57142877578735
3;2;100;1;6;1;2;5;5;5;2;36; ;6,7142858505249
3;2;0;2;3;1;5;6;3,5;4,5;1;46;1;4,7142858505249
3;2;0;1;4;1;2;5;3,5;5,5;2;20;1;6,14285707473755
3;2;0;1;5;1;4;3;5,5;4;3;29;0;6
3;2;100;1;7;1;1;3;5,5;5,5;3;22; ;6,14285707473755
3;2;69;2;4;1;3;4;3,5;4;3;51;1;5
