corona_filter;others_infected;corona_income_1;gender;leftright;country;news_avoid_c;intentional_news_c;misinfo_c;disinfo_c;education_new;age4;dummy_dismis;compliance
3;2;19;1;5;1;4;5;7;7;3;56; ;7
3;2;0;1;8;1;2;4;4;3,5;2;36;0;5,14285707473755
3;2;0;1;2;1;1;7;1,5;1;1;58;0;6,14285707473755
3;2;0;2;6;1;1;3;3,5;3,5;2;65; ;6,7142858505249
3;2;50;1;4;1;3;3;6;4;3;26;0;5,85714292526245
3;2;2;2;4;1;2;4;5;3,5;2;64;0;6,85714292526245
3;2;71;1;4;1;2;5;3,5;4,5;2;23;1;7
3;2;25;1;8;1;2;6;4,5;4;3;44;0;6,57142877578735
3;2;0;2;8;1;3;5;4;3,5;2;25;0;6,57142877578735
3;2;1;2;10;2;1;5;5;3,5;3;58;0;4,57142877578735
3;2;100;2;11;2;4;1;7;7;2;43; ;2
3;2;1;2;7;2;1;7;4,5;3,5;2;65;0;6,7142858505249
3;2;0;1;9;2;4;4;6;6,5;2;39;1;5,85714292526245
3;2;1;1;8;2;3;4;5,5;4,5;3;53;0;5,7142858505249
3;2;0;2;8;2;5;2;4,5;5;2;46;1;6,14285707473755
3;2;1;1;4;2;1;7;7;5,5;2;60;0;7
3;2;0;2;5;2;1;7;3,5;1,5;3;63;0;5,2857141494751
3;2;82;2;6;2;4;4;7;7;1;36; ;4,7142858505249
4;2;18;2;6;2;4;5;3;5;3;53;1;3,71428561210632
3;2;100;1;6;2;1;1;1;1;1;98; ;1
3;2;1;2;6;2;4;4;4;3;2;36;0;4,14285707473755
3;2;27;1;6;2;5;5;4;4,5;2;28;1;4,7142858505249
3;2;67;1;6;2;2;5;5,5;5;2;38;0;6
3;2;0;2;9;2;3;5;5;6,5;3;64;1;5,42857122421265
3;2;100;1;6;2;1;7;7;6;2;58;0;6,85714292526245
3;2;1;1;9;2;2;4;6;6;2;34; ;7
3;2;13;2;9;2;4;4;4;4;2;64; ;4
3;2;2;1;11;2;3;5;6,5;5,5;2;52;0;4,7142858505249
4;2;10;1;9;2;4;4;5;4,5;3;44;0;4,7142858505249
3;2;0;2;7;2;1;7;5,5;5;3;50;0;5,14285707473755
3;2;0;2;1;2;1;7;5,5;2,5;2;66;0;6,85714292526245
2;2;1;1;6;2;1;3;6;6;2;22; ;2,71428561210632
2;2;83;2;6;2;6;7;6,5;6,5;3;39; ;4,7142858505249
3;2;0;1;4;2;2;4;4;3;2;55;0;3,28571438789368
3;2;9;1;2;2;1;7;7;7;2;65; ;7
3;2;2;1;4;2;2;5;5,5;3;3;66;0;5,2857141494751
3;2;81;2;8;2;2;6;4;3;2;56;0;6
3;2;8;1;11;2;2;7;4,5;1,5;3;58;0;5,57142877578735
3;2;83;1;6;2;2;5;3;3,5;3;56;1;5,85714292526245
3;2;0;1;3;2;7;1;7;5;2;62;0;3
3;2;57;2;6;2;3;5;4;2,5;2;57;0;6,2857141494751
3;2;15;2;6;2;2;4;4,5;5;2;64;1;5,85714292526245
3;2;1;1;8;2;4;4;4,5;3,5;2;45;0;6,7142858505249
3;2;1;1;11;2;1;7;4;1;2;57;0;6,14285707473755
3;2;0;2;3;2;7;4;4;4;2;62; ;6,7142858505249
3;2;42;1;1;2;1;5;4,5;3,5;1;54;0;7
3;2;15;1;10;2;7;6;6;5;2;64;0;6,2857141494751
3;2;0;2;6;2;1;7;6,5;4,5;3;63;0;6,42857122421265
3;2;87;1;6;2;4;4;4,5;5;2;30;1;4,14285707473755
3;2;25;2;6;2;1;7;5,5;5;3;38;0;7
3;2;2;1;10;2;1;7;4;5,5;1;60;1;7
3;2;5;2;10;2;3;4;3,5;4,5;3;33;1;6,57142877578735
3;2;82;1;9;2;1;7;7;5,5;3;65;0;6,42857122421265
3;2;1;1;3;2;2;5;6,5;4,5;2;66;0;6,57142877578735
3;2;37;1;6;2;3;4;4,5;3;3;34;0;6
4;3;100;1;6;2;5;4;3;3,5;2;31;1;4
3;2;0;1;8;2;6;1;7;6,5;2;64;0;6,42857122421265
3;1;30;1;6;2;3;5;4;2,5;3;65;0;6,7142858505249
3;2;5;1;6;2;1;5;6;4;2;54;0;6,85714292526245
3;2;0;2;6;2;2;7;7;7;2;65; ;7
3;2;0;2;5;2;1;7;4,5;4,5;3;60; ;7
3;2;1;1;7;2;1;4;4;1,5;2;66;0;5,85714292526245
3;2;66;2;3;2;5;4;6;6,5;2;28;1;5,7142858505249
3;2;0;3;1;2;7;1;4,5;4,5;1;26; ;6
3;2;12;2;1;2;5;6;4,5;5,5;2;55;1;4
3;2;2;2;1;2;1;7;2,5;2,5;3;62; ;6,85714292526245
3;2;0;2;5;2;1;7;7;7;2;59; ;7
3;2;0;1;6;2;1;6;4,5;3,5;1;62;0;6,85714292526245
3;2;19;1;8;2;6;6;4;2;1;64;0;7
3;2;30;2;1;2;2;6;4,5;4,5;2;30; ;5,14285707473755
3;2;80;1;11;2;6;6;5;4;2;62;0;6,42857122421265
3;2;0;2;11;2;1;7;5;5;2;64; ;7
3;2;0;1;3;2;1;7;5,5;3,5;2;56;0;6,7142858505249
3;2;50;1;9;2;1;5;2;1,5;2;61;0;7
3;2;40;1;11;2;1;7;5;5;2;65; ;7
3;2;0;1;1;2;1;7;6;3,5;2;52;0;7
3;2;100;2;6;2;2;6;6,5;5;2;66;0;7
3;2;10;1;6;2;3;6;5,5;5,5;2;59; ;6,7142858505249
3;2;100;2;8;2;2;6;4,5;3;2;63;0;6,7142858505249
3;2;0;1;1;2;3;6;3;4,5;2;60;1;7
3;2;0;2;7;2;1;7;5;4,5;2;63;0;6,57142877578735
3;2;1;1;4;2;2;6;3;3;2;64; ;6,7142858505249
3;2;1;1;1;2;1;7;5,5;5;1;57;0;6,85714292526245
3;2;11;1;11;2;4;3;5,5;5,5;2;62; ;5,2857141494751
3;2;0;1;6;2;4;4;3,5;3,5;1;64; ;7
3;2;0;1;8;2;1;7;5;3;3;66;0;6,14285707473755
1;1;60;2;6;2;1;7;5;1;3;43;0;6,14285707473755
3;2;0;1;11;2;1;5;5;3,5;2;58;0;6,7142858505249
4;2;3;1;2;2;1;1;1;1;3;30; ;1
3;2;0;2;1;2;1;7;6,5;6,5;2;64; ;6,14285707473755
3;2;2;2;1;2;7;7;7;7;3;38; ;1,14285719394684
2;2;1;2;11;2;2;6;4,5;4,5;3;64; ;6,2857141494751
3;2;40;2;6;2;2;5;5;4;2;59;0;5,85714292526245
3;2;0;1;10;2;4;5;5,5;2,5;2;55;0;6,14285707473755
3;2;9;2;6;2;3;5;5;4,5;3;65;0;6,57142877578735
3;2;28;1;11;2;4;4;5;5;2;62; ;5,57142877578735
3;2;60;1;6;2;6;5;5;4,5;3;21;0;5,2857141494751
3;2;0;1;8;2;7;1;7;7;2;50; ;7
3;2;81;1;6;2;3;6;4,5;3;2;59;0;7
2;1;54;1;6;2;7;4;4;4;3;21; ;4,2857141494751
2;2;47;2;4;2;1;1;2;3,5;1;21;1;3,28571438789368
3;2;4;1;6;2;4;4;3,5;3;3;52;0;3,14285707473755
3;2;100;1;9;2;1;7;1;1;2;43; ;7
4;2;11;2;5;2;4;3;5;6;2;32;1;5,2857141494751
3;2;30;1;3;2;4;3;6,5;3,5;1;62;0;6,85714292526245
3;2;41;2;4;2;1;6;4;3;1;47;0;6,57142877578735
4;2;1;1;1;2;1;7;4,5;5,5;3;51;1;7
4;2;8;2;6;2;4;4;4;4;2;101; ;3,85714292526245
3;2;13;1;3;2;5;1;2,5;3;2;56;1;3,85714292526245
3;2;10;2;9;2;4;4;7;6;2;50;0;6,2857141494751
3;2;100;1;6;2;4;4;7;7;2;58; ;6,42857122421265
3;2;1;1;6;2;4;5;7;5;1;59;0;7
2;2;0;1;8;2;7;1;7;7;1;58; ;5,2857141494751
3;2;27;1;6;2;1;7;4;4;2;38; ;6,85714292526245
3;2;1;1;4;2;1;7;6;3;2;66;0;7
3;2;7;1;6;2;2;6;5;3,5;2;66;0;5,7142858505249
3;2;91;1;5;2;3;3;4;4,5;2;37;1;4,7142858505249
4;3;2;3;1;2;1;1;1;1;1;15; ;1
3;2;2;1;8;2;3;4;5,5;4,5;2;64;0;5,42857122421265
3;2;37;1;5;2;3;4;4,5;4,5;2;42; ;4,7142858505249
3;2;4;1;11;2;3;6;5,5;5;2;27;0;4,7142858505249
3;2;49;2;6;2;4;4;4;4;2;30; ;4
2;2;9;1;6;2;3;4;3,5;4;1;41;1;5,7142858505249
3;2;100;1;1;2;1;7;4,5;1,5;2;48;0;6
4;2;0;1;8;2;2;6;7;5;2;64;0;7
3;2;50;1;6;2;4;3;6,5;6;1;40;0;5,14285707473755
3;2;0;2;2;2;1;7;6;5,5;2;32;0;6,7142858505249
3;2;19;2;11;2;5;5;4;5;3;37;1;6,2857141494751
3;2;20;1;9;2;2;6;4,5;2,5;3;54;0;5,85714292526245
3;2;9;1;11;2;3;5;6;4,5;1;66;0;5,85714292526245
3;2;50;1;11;2;1;7;7;7;2;61; ;7
3;2;4;1;5;2;2;6;7;7;1;22; ;6,85714292526245
3;2;47;1;9;2;5;4;7;7;2;28; ;6,57142877578735
3;2;10;1;7;2;1;7;4,5;4,5;3;65; ;7
3;2;19;2;4;2;5;3;6;6;3;46; ;6
1;2;20;2;3;2;3;2;2;2;2;23; ;2,85714292526245
4;3;57;1;11;2;7;7;7;7;1;33; ;6,42857122421265
4;2;0;2;6;2;2;2;4;4;2;44; ;4
3;2;0;2;6;2;4;4;4;4;2;43; ;4
3;2;100;1;1;2;7;1;6;3;2;29;0;6,7142858505249
3;2;9;2;11;2;5;2;7;7;3;50; ;3,85714292526245
4;2;50;1;5;2;3;3;3;3,5;3;37;1;3,28571438789368
4;3;53;1;1;2;1;1;1;1;1;38; ;1
4;3;0;1;1;2;1;1;1,5;1;1;20;0;1,14285719394684
3;2;20;1;2;2;3;3;3,5;5;2;58;1;5,14285707473755
3;2;30;1;4;2;1;7;3,5;2;3;47;0;6,57142877578735
3;2;1;1;6;2;1;5;4;4;2;50; ;4
3;2;48;1;11;2;3;3;3,5;3,5;3;47; ;3,71428561210632
3;2;34;1;6;2;1;7;5,5;6;2;64;1;6,57142877578735
3;2;1;1;10;2;1;6;3;3;2;75; ;4,42857122421265
3;2;21;1;6;2;4;4;5;3,5;3;56;0;7
3;2;7;2;1;2;1;1;1;1;3;19; ;1
3;2;19;2;6;2;4;3;4;3;2;51;0;4,14285707473755
3;2;1;1;10;2;3;5;4;4;2;49; ;6,85714292526245
3;2;90;1;4;2;4;4;3;3;2;63; ;6,85714292526245
3;2;1;1;6;2;2;7;3,5;2;2;62;0;6,57142877578735
3;2;74;1;7;2;4;7;5,5;4,5;1;61;0;6,57142877578735
3;1;68;1;6;2;5;5;4,5;3,5;1;20;0;4,14285707473755
3;2;0;1;6;2;7;2;6;3,5;2;25;0;6
3;2;1;2;4;2;4;5;7;3,5;3;53;0;5,2857141494751
3;2;31;2;9;2;1;5;7;7;3;47; ;7
3;2;16;2;5;2;1;4;5;5;2;25; ;5,7142858505249
3;1;3;1;1;2;3;5;7;7;3;31; ;6,7142858505249
3;2;55;1;3;2;1;7;7;5;1;32;0;6,85714292526245
3;2;0;1;5;2;1;7;6;4,5;2;49;0;6,85714292526245
3;2;0;1;6;2;3;7;4,5;6,5;2;35;1;6,85714292526245
3;2;22;1;11;2;2;5;7;7;2;56; ;6,14285707473755
2;2;100;1;8;2;1;7;5,5;4;2;62;0;6,7142858505249
3;2;50;1;6;2;4;4;4;4;2;55; ;4
3;2;0;2;5;2;4;2;5,5;4;3;43;0;6,2857141494751
3;2;0;1;6;2;1;7;5;7;2;64;1;6,57142877578735
3;2;82;1;1;2;1;7;7;7;3;67; ;6,7142858505249
3;1;82;1;10;2;2;4;6;5,5;2;62;0;5,57142877578735
3;2;3;1;6;2;3;5;5,5;2,5;2;64;0;6,14285707473755
3;2;0;1;1;2;7;1;4;7;2;49;1;2,71428561210632
3;2;0;1;2;2;1;5;7;7;3;30; ;6,85714292526245
4;2;4;1;6;2;1;2;5;4;1;65;0;7
3;2;100;1;1;2;1;1;1;1;1;27; ;1
3;2;10;1;4;2;1;6;5;3;2;61;0;4
3;2;0;1;1;2;1;5;6;3;2;51;0;6,7142858505249
3;2;60;2;6;2;5;4;5,5;5,5;3;25; ;5,2857141494751
3;2;60;1;11;2;1;7;7;7;2;60; ;7
3;2;100;1;11;2;4;3;5,5;7;2;64;1;6,57142877578735
4;1;0;2;5;2;2;5;4,5;4,5;3;36; ;5,85714292526245
3;2;0;1;11;2;1;4;4,5;4;2;56;0;6,14285707473755
3;2;1;1;4;2;3;3;3;3,5;1;63;1;3,28571438789368
3;2;0;1;10;2;2;6;3;3;3;66; ;7
3;2;89;2;10;2;1;7;7;6,5;3;54;0;6,57142877578735
3;2;1;1;11;2;7;1;7;7;3;66; ;5,57142877578735
3;2;0;1;9;2;5;4;6,5;6,5;3;50; ;6
3;2;61;1;6;2;3;4;4;4;2;35; ;5,57142877578735
3;2;0;1;2;2;4;4;5;3,5;2;59;0;4,85714292526245
3;2;5;1;6;2;3;5;4,5;4,5;2;66; ;6,7142858505249
3;2;0;2;4;2;1;7;7;5,5;2;37;0;6,57142877578735
3;2;1;1;6;2;4;4;4;4;2;41; ;5,7142858505249
3;2;22;1;6;2;3;5;4;3,5;1;66;0;6,85714292526245
3;2;81;2;5;2;2;5;5,5;4,5;2;53;0;5,57142877578735
3;2;1;1;6;2;6;1;2;2;2;61; ;1,85714280605316
3;2;4;2;5;2;1;6;6;5;3;55;0;6,14285707473755
3;2;0;1;6;2;2;6;4,5;4,5;2;61; ;7
3;2;4;2;11;2;4;3;4;5;2;15;1;4,42857122421265
2;2;100;1;1;2;1;7;6;6,5;1;63;1;5,7142858505249
4;2;1;1;9;2;3;4;4,5;4,5;3;34; ;5
4;2;100;1;10;2;2;7;4,5;5;3;30;1;6
3;2;100;1;6;2;2;4;5;5;2;20; ;6,57142877578735
3;2;3;1;6;2;3;6;4;4;2;50; ;7
3;2;100;1;6;2;3;5;5;4;2;59;0;4,7142858505249
3;2;41;1;11;2;1;7;6,5;7;1;59;1;6,57142877578735
3;1;100;1;6;2;1;5;2;1;2;63;0;7
4;3;0;2;6;2;4;4;4;4;1;29; ;4
3;2;60;1;6;2;2;6;4,5;3,5;2;62;0;6,42857122421265
3;2;1;2;8;2;5;3;5;5;2;44; ;3,85714292526245
3;1;79;2;10;2;7;6;7;6;2;30;0;6,7142858505249
3;2;50;1;6;2;3;3;4,5;3;2;45;0;4,42857122421265
3;2;100;1;6;2;4;3;5;3,5;2;62;0;6,14285707473755
3;2;9;2;6;2;3;5;6,5;4,5;2;48;0;2,71428561210632
3;1;72;1;10;2;6;1;7;5,5;2;59;0;6
3;2;0;1;6;2;3;4;4;4;2;73; ;4,14285707473755
3;2;50;1;7;2;1;7;5;2;2;63;0;6,85714292526245
3;2;4;1;1;2;1;7;6;6;2;22; ;7
3;2;50;2;3;2;2;5;7;6;2;54;0;6,7142858505249
3;2;0;1;6;2;1;5;4;4;2;61; ;7
3;2;0;1;4;2;3;3;6;4;2;64;0;5,57142877578735
3;2;20;1;6;2;1;5;5,5;4;3;57;0;6,2857141494751
3;1;50;2;10;2;7;1;5,5;1;1;25;0;7
3;2;42;1;6;2;4;4;4;3,5;2;58;0;6,14285707473755
3;2;0;1;4;2;1;7;6;6;1;63; ;6,85714292526245
3;2;0;1;8;2;1;7;6;5,5;3;59;0;6,2857141494751
4;3;66;1;10;2;6;5;6;5,5;3;46;0;5,57142877578735
3;2;32;1;9;2;3;3;4,5;7;1;64;1;7
3;2;1;1;8;2;2;7;3,5;3;3;62;0;6,57142877578735
3;2;2;1;6;2;4;4;4;4;2;31; ;7
3;2;33;1;4;2;3;5;6;6;2;39; ;5,7142858505249
4;2;91;1;11;2;1;7;6,5;4;2;62;0;7
3;2;31;1;6;2;3;5;3;5,5;2;63;1;7
3;2;6;1;11;2;2;6;3;3;1;59; ;6
3;2;80;1;9;2;5;5;4,5;4;1;165;0;3,85714292526245
3;2;44;1;1;2;1;7;4;2,5;3;66;0;6,42857122421265
3;2;10;1;1;2;1;7;4,5;4,5;2;53; ;5,57142877578735
3;2;5;2;4;2;2;6;6;6,5;2;54;1;6,57142877578735
3;2;100;1;1;2;1;7;3,5;2;3;64;0;7
3;2;0;1;6;2;4;2;7;6,5;3;25;0;6,85714292526245
3;2;0;1;6;2;2;6;5,5;4;2;63;0;5,85714292526245
3;2;1;1;5;2;2;3;5;4,5;3;21;0;5,85714292526245
3;2;0;1;6;2;3;3;1;1;1;58; ;6,14285707473755
3;2;0;1;9;2;1;4;5,5;3,5;2;60;0;6,57142877578735
3;2;100;1;8;2;5;5;6;6,5;2;39;1;5,42857122421265
3;2;0;1;11;2;1;6;6;7;2;57;1;6,7142858505249
3;2;100;1;7;2;1;6;5;3,5;2;53;0;5,2857141494751
3;2;22;2;9;2;1;7;5,5;5;3;42;0;6,7142858505249
2;2;6;1;1;2;1;7;5;6;1;61;1;7
4;2;4;3;1;2;1;1;1;1;3;21; ;1
3;2;0;1;9;2;1;1;6,5;6;2;65;0;7
3;2;100;1;6;2;1;1;7;7;2;53; ;6,2857141494751
3;2;60;1;9;2;6;2;5,5;6;2;1963;1;5,42857122421265
3;2;1;1;5;2;6;3;5,5;5,5;2;64; ;7
4;2;40;2;6;2;5;3;3;3,5;2;49;1;3,57142853736877
3;2;0;1;6;2;3;4;4;4;3;48; ;4,57142877578735
3;2;100;1;6;2;1;3;4,5;3;1;59;0;6,14285707473755
3;2;70;1;2;2;1;7;7;6,5;3;60;0;7
3;2;0;1;6;2;1;7;4;4;2;49; ;5,85714292526245
3;2;4;1;5;2;2;2;6,5;5,5;1;58;0;7
3;2;1;1;11;2;5;2;6;5;1;64;0;2,28571438789368
2;2;24;1;3;2;1;7;5;5;3;61; ;6,85714292526245
3;2;0;1;6;2;1;7;7;7;3;57; ;7
3;2;0;1;10;2;1;5;6;5;1;65;0;7
3;2;0;1;6;2;2;3;3,5;3;1;17;0;5,2857141494751
3;2;1;1;6;2;5;6;5;3,5;2;65;0;7
3;2;62;1;6;2;1;4;5,5;5,5;1;49; ;4,42857122421265
4;2;0;1;6;2;1;4;2,5;4;2;58;1;4,85714292526245
3;2;10;1;11;2;1;7;4;4;2;61; ;6,14285707473755
3;2;0;1;11;2;1;4;5,5;3,5;3;63;0;5,85714292526245
3;2;10;1;9;2;2;5;6;5;3;60;0;7
3;2;100;1;6;2;3;7;5,5;5,5;2;44; ;6,7142858505249
3;2;0;1;11;2;4;4;4,5;6;3;55;1;7
3;2;0;1;3;2;1;6;5,5;6,5;2;38;1;4,85714292526245
3;2;0;1;2;2;1;7;7;4,5;3;64;0;7
3;1;88;1;3;2;2;3;5,5;2;2;25;0;6,42857122421265
3;2;30;1;8;2;2;2;6;5;2;36;0;5
3;2;0;1;9;2;1;7;4;4,5;2;66;1;6,85714292526245
3;3;71;1;11;2;2;5;4,5;3,5;2;58;0;7
3;2;0;1;2;2;3;4;7;7;2;50; ;6
4;3;2;3;1;2;1;1;1;1,5;1;11;1;1
3;2;100;1;6;2;1;1;7;7;2;36; ;5,14285707473755
3;2;30;1;3;2;1;5;6;4;2;35;0;6,7142858505249
3;2;45;2;6;2;5;4;5;5,5;2;50;1;5,2857141494751
3;2;100;1;6;2;3;5;4;4;2;47; ;7
3;2;3;1;11;2;6;4;7;6,5;1;47;0;7
3;2;10;1;6;2;2;4;7;4,5;2;58;0;6,42857122421265
4;3;51;1;1;2;1;1;1;1;1;14; ;1
3;2;2;1;6;2;4;5;6;5,5;1;50;0;7
3;2;84;2;8;2;5;6;6;6;2;44; ;6
3;2;40;1;6;2;3;2;6;6,5;2;20;1;5,42857122421265
3;2;5;1;11;2;1;7;4,5;2;2;65;0;6,42857122421265
4;2;71;1;6;2;2;3;3,5;2,5;2;56;0;5,85714292526245
3;2;0;1;6;2;2;5;6;4,5;1;66;0;7
3;2;100;1;1;2;1;6;6;7;2;23;1;6,2857141494751
2;2;0;1;4;2;1;7;5,5;4;3;59;0;7
3;2;70;1;7;2;3;3;3;3;2;45; ;3
3;2;100;1;6;2;1;7;6,5;6,5;2;23; ;7
3;2;4;1;6;2;3;5;6;5;2;56;0;6,2857141494751
3;2;30;2;1;2;7;7;5,5;5,5;2;28; ;7
4;3;0;2;6;2;1;1;7;7;1;17; ;1
3;2;50;2;6;2;4;4;4;4;1;20; ;4
3;2;9;2;4;2;3;3;4,5;4;3;33;0;5,14285707473755
3;2;0;1;6;2;4;4;4;4;2;35; ;4
4;3;91;1;6;2;1;1;1;1;3;39; ;3
3;2;1;1;6;2;2;4;3,5;4,5;2;61;1;6,85714292526245
3;2;2;1;10;2;3;5;5,5;5;1;35;0;6,85714292526245
3;2;100;1;6;2;4;4;7;5,5;1;41;0;3,14285707473755
3;2;91;1;6;2;3;6;4,5;4;2;37;0;4,85714292526245
3;2;10;1;6;2;1;7;4,5;4;3;41;0;5,42857122421265
3;2;25;1;6;2;1;4;5,5;2;1;55;0;7
3;2;52;1;5;2;3;3;4;4;1;40; ;4
2;1;100;1;11;2;7;7;7;7;3;38; ;7
4;2;51;1;4;2;3;3;4;4;2;42; ;4
3;2;0;2;7;2;1;5;5,5;4;2;49;0;6,2857141494751
4;2;0;1;6;2;4;4;4;4;1;35; ;4
3;2;0;1;7;2;2;5;3;2;2;45;0;4,2857141494751
3;2;0;2;6;2;1;7;4,5;2,5;3;52;0;5,42857122421265
3;2;100;2;6;2;3;5;4;4;2;50; ;6,2857141494751
4;3;45;2;6;2;4;4;4;4;3;43; ;4,14285707473755
3;2;50;1;8;2;1;7;6;5;2;62;0;6,2857141494751
3;2;98;1;7;2;4;5;4;5;2;44;1;6,57142877578735
3;2;4;2;4;2;2;2;4;4;2;53; ;2,85714292526245
3;2;1;1;10;2;4;4;5;4,5;2;64;0;6,7142858505249
3;2;27;1;8;2;5;2;4;5;2;28;1;4,14285707473755
3;2;2;1;6;2;1;7;6;5;1;44;0;6,57142877578735
3;2;50;2;6;2;1;7;5,5;5;3;24;0;6,42857122421265
3;2;80;2;9;2;2;5;5;3;3;47;0;6,57142877578735
3;2;100;2;1;2;1;7;5;4,5;2;47;0;6,7142858505249
3;2;100;2;6;2;1;5;5;5;2;52; ;3,71428561210632
