corona_filter;others_infected;corona_income_1;gender;leftright;country;news_avoid_c;intentional_news_c;misinfo_c;disinfo_c;education_new;age4;dummy_dismis;compliance
3;2;0;1;6;2;2;6;4;3,5;2;43;0;7
3;2;19;2;11;2;1;7;5,5;4,5;1;22;0;7
3;2;0;1;4;2;2;4;6,5;3;3;61;0;4,85714292526245
3;2;3;1;1;2;1;7;4;5,5;2;39;1;6,85714292526245
3;2;2;1;6;2;3;2;6,5;6;1;64;0;6,7142858505249
4;2;21;1;6;2;4;3;3,5;3,5;3;33; ;3,42857146263123
3;2;16;1;5;2;3;5;5;5;1;51; ;5,14285707473755
3;2;14;1;2;2;2;5;5,5;6;2;44;1;6
3;2;0;2;6;2;2;4;5,5;7;3;53;1;6,42857122421265
3;2;0;1;11;2;3;6;5,5;5;1;60;0;7
3;2;100;1;5;2;3;2;4;4,5;2;33;1;6,2857141494751
3;2;39;1;6;2;4;5;4,5;4,5;1;45; ;5,2857141494751
3;2;0;1;1;2;1;7;4,5;2,5;3;42;0;7
3;2;0;1;9;2;1;2;5;5;2;41; ;5,2857141494751
3;2;72;2;11;2;1;7;6;6,5;3;44;1;6,57142877578735
4;1;100;1;1;2;1;7;4;4;2;42; ;7
3;2;44; ; ;2;2;5;5,5;5; ; ;0;4,7142858505249
3;1;44; ; ;2;3;4;4;4,5; ; ;1;5
3;2;2;1;6;3;3;4;4;4;1;1995; ;4,14285707473755
3;2;4;1;5;3;6;5;5;6;3;34;1;6,57142877578735
3;2;0;1;8;3;3;5;4,5;3,5;3;45;0;6,42857122421265
2;1;1;1;8;3;1;6;4,5;2,5;1;62;0;7
3;2;0;2;5;3;3;4;2,5;2;3;62;0;5,2857141494751
3;2;0;2;6;3;2;7;5;5,5;1;38;1;5,57142877578735
3;2;72;1;7;3;4;3;3;3,5;2;37;1;3,71428561210632
3;2;0;1;6;3;5;3;7;7;2;38; ;6,2857141494751
2;2;59;2;6;3;4;4;4;5,5;2;45;1;3,85714292526245
3;2;96;1;1;3;2;5;6;6;3;44; ;7
3;2;28;2;6;3;5;5;4;4;3;38; ;4,2857141494751
3;2;81;2;3;3;6;4;3,5;4,5;3;50;1;5,14285707473755
3;2;26;1;6;3;4;1;4;4;3;26; ;4
3;2;100;1;3;3;1;7;4;4;2;33; ;5,2857141494751
3;2;52;2;10;3;3;5;4;5;2;35;1;4,7142858505249
2;2;61;1;1;3;1;7;3;6,5;3;33;1;7
3;2;11;2;4;3;7;1;4,5;7;3;61;1;3
3;2;0;2;3;3;1;5;7;7;1;66; ;6,14285707473755
3;2;20;1;6;3;5;2;4;4;2;40; ;4
3;2;100;1;4;3;5;2;5;4,5;3;64;0;5,42857122421265
3;2;1;2;4;3;1;6;4,5;3;2;46;0;6,7142858505249
3;2;100;1;7;3;1;7;5;4;2;41;0;7
3;2;0;2;9;3;4;4;3,5;4;1;53;1;4
3;2;42;1;6;3;2;5;3;3;3;38; ;6,85714292526245
3;2;18;1;6;3;2;6;6,5;3;2;66;0;6,57142877578735
3;2;0;2;9;3;1;4;5,5;5,5;2;27; ;7
2;2;5;1;8;3;1;7;6;5,5;2;62;0;6,85714292526245
2;1;2;1;6;3;6;2;5,5;6;3;29;1;6,2857141494751
4;1;92;2;6;3;4;3;4;4,5;1;58;1;4,42857122421265
2;1;31;1;6;3;4;3;3,5;4,5;3;31;1;4,85714292526245
3;2;83;1;6;3;1;6;2;2;3;22; ;6
3;2;50;1;6;3;5;5;5,5;5;3;29;0;6,85714292526245
3;2;50;1;6;3;4;4;4;4;2;58; ;5,57142877578735
3;2;1;1;5;3;6;2;7;7;2;45; ;7
3;2;0;1;4;3;6;2;5,5;4,5;2;49;0;5,85714292526245
3;2;0;1;6;3;3;2;6;5,5;2;41;0;6,42857122421265
3;2;51;1;6;3;1;7;4,5;5;2;47;1;7
3;2;98;1;9;3;5;6;5,5;6,5;3;30;1;6,7142858505249
3;1;1;1;6;3;4;6;4;4;1;42; ;3,57142853736877
3;2;0;2;6;3;1;6;4;3;3;47;0;6,7142858505249
4;2;70;1;6;3;5;4;5;4,5;1;53;0;5,57142877578735
3;2;52;2;5;3;4;4;4;4;3;42; ;6,85714292526245
4;2;39;1;6;3;2;6;4,5;4;2;43;0;5,7142858505249
3;2;40;1;7;3;2;4;3,5;3;2;59;0;5,7142858505249
3;2;50;2;3;3;4;4;4;4;2;59; ;4
3;2;0;2;6;3;1;7;7;5,5;2;45;0;4,42857122421265
3;2;18;2;10;3;5;4;5,5;4;3;46;0;6,42857122421265
3;2;50;1;3;3;2;6;4,5;4;1;54;0;6,85714292526245
3;2;0;2;6;3;5;3;5,5;4,5;2;63;0;5
3;2;53;1;6;3;7;6;6;6,5;2;54;1;5,7142858505249
3;2;48;1;6;3;2;3;2,5;3,5;2;47;1;3,14285707473755
3;2;29;2;6;3;4;4;5;5;1;48; ;3,85714292526245
3;2;1;1;10;3;1;7;2,5;3,5;2;59;1;6,42857122421265
3;1;0;1;6;3;4;4;7;7;2;53; ;7
3;2;100;2;6;3;6;2;3,5;4,5;2;26;1;3,14285707473755
2;2;26;1;1;3;1;7;7;6,5;2;55;0;7
3;2;1;1;8;3;1;7;4,5;2,5;1;60;0;7
3;2;90;2;7;3;1;6;7;5;2;57;0;5,2857141494751
3;2;1;1;6;3;4;1;7;7;2;42; ;4,85714292526245
3;2;0;2;3;3;3;4;7;7;3;33; ;5
3;2;0;2;8;3;2;3;5;5;3;52; ;6,14285707473755
3;2;50;2;6;3;2;6;5,5;5;1;56;0;6,57142877578735
3;2;44;1;6;3;4;3;6;6;3;54; ;6,14285707473755
3;2;0;1;9;3;1;5;6,5;4,5;3;65;0;6,14285707473755
3;2;40;1;1;3;4;3;3,5;3,5;3;50; ;6
3;2;15;1;6;3;3;4;5;4,5;3;63;0;7
3;2;100;2;6;3;4;3;5;5;2;64; ;5,57142877578735
3;2;2;1;6;3;5;3;5;4,5;1;65;0;6,42857122421265
3;2;1;1;6;3;1;4;4;5;2;63;1;7
3;2;29;2;8;3;4;4;4;4;2;50; ;4,42857122421265
3;2;100;2;11;3;5;4;5,5;5;3;22;0;4,42857122421265
3;2;0;2;6;3;2;5;6;4;2;67;0;6,42857122421265
3;2;99;1;4;3;2;6;7;6,5;3;35;0;6,7142858505249
3;2;0;2;8;3;1;1;4,5;4,5;3;66; ;4,7142858505249
3;2;18;2;6;3;1;7;7;7;2;59; ;7
3;2;0;2;6;3;5;3;4;4;2;37; ;3,85714292526245
2;2;0;2;6;3;2;6;5,5;5;3;41;0;6,57142877578735
3;2;0;2;6;3;5;6;3,5;3,5;3;40; ;5,7142858505249
2;2;2;2;5;3;1;5;7;6;2;56;0;6,85714292526245
3;2;8;1;1;3;1;3;6,5;6,5;1;50; ;7
3;2;0;2;6;3;1;5;4,5;4;3;64;0;3,71428561210632
3;2;9;1;5;3;2;4;4,5;5;2;64;1;7
3;2;0;1;5;3;1;6;4;3,5;3;30;0;5
3;2;2;2;7;3;2;6;6,5;6,5;3;57; ;6
3;1;0;1;7;3;5;2;5,5;4;3;54;0;7
3;2;61;1;6;3;5;4;6,5;5,5;1;44;0;7
3;2;1;2;7;3;7;2;6,5;4,5;1;65;0;5,7142858505249
3;2;0;2;6;3;6;1;7;7;1;66; ;2,42857146263123
3;2;1;1;6;3;5;5;4,5;4;2;63;0;6,14285707473755
3;2;0;1;6;3;3;3;7;7;2;63; ;7
3;2;0;2;6;3;1;5;4,5;4;2;65;0;4,42857122421265
2;2;80;2;7;3;1;7;5;3,5;3;51;0;7
3;2;0;2;8;3;1;7;4;2,5;1;57;0;6,14285707473755
3;2;40;1;6;3;4;5;4,5;5;2;39;1;5
3;2;0;2;2;3;1;7;5;4;1;57;0;5
3;2;2;2;8;3;1;6;3,5;3;2;64;0;5,85714292526245
3;2;100;1;3;3;1;6;7;6,5;3;51;0;7
3;2;29;2;5;3;1;7;5,5;5,5;2;51; ;7
3;2;61;1;1;3;7;7;4;1,5;3;27;0;7
3;1;100;2;8;3;4;4;5,5;3;3;54;0;6
3;2;41;1;5;3;4;4;4,5;4;1;31;0;5,2857141494751
3;2;80;1;9;3;1;7;4;4,5;2;35;1;5,85714292526245
3;2;0;2;7;3;1;5;4,5;5;1;53;1;5,57142877578735
3;2;36;2;5;3;3;5;4,5;3;3;45;0;5,7142858505249
3;2;91;2;7;3;5;2;4;4;3;43; ;4,14285707473755
3;2;1;1;6;3;3;1;3,5;5,5;2;63;1;6,7142858505249
3;2;5;2;4;3;1;5;5;4,5;3;38;0;6,2857141494751
2;2;20;1;6;3;2;2;3;3;1;30; ;6,7142858505249
3;2;1;2;7;3;1;6;4,5;4;2;63;0;5,7142858505249
3;2;41;2;4;3;1;2;4,5;6,5;2;66;1;2,71428561210632
3;2;71;2;4;3;2;7;5,5;5,5;3;56; ;7
2;2;51;1;6;3;1;6;4;3,5;2;65;0;6,57142877578735
3;2;0;2;6;3;2;4;5;3,5;1;39;0;6,7142858505249
3;2;39;2;6;3;1;7;7;6;2;65;0;7
3;2;100;2;4;3;1;7;5;4;2;41;0;6,7142858505249
3;2;0;1;6;3;4;2;5,5;7;2;66;1;4,57142877578735
2;2;81;1;3;3;1;7;5;4;3;64;0;6,57142877578735
3;2;1;1;6;3;4;4;5;3,5;1;66;0;3,71428561210632
3;1;1;1;7;3;7;1;7;7;2;62; ;3,14285707473755
3;2;1;1;6;3;7;1;6,5;5,5;2;21;0;7
3;2;0;1;8;3;1;7;4,5;5;2;49;1;7
3;2;0;2;9;3;4;2;6,5;5,5;1;56;0;6,57142877578735
3;2;9;1;5;3;1;4;5,5;3;2;65;0;6,7142858505249
3;2;70;2;8;3;5;3;6;6,5;3;46;1;4,85714292526245
3;2;20;1;6;3;1;5;6;5,5;2;35;0;7
3;2;4;2;7;3;4;4;4;4;3;30; ;4
3;2;1;1;8;3;3;5;4,5;4,5;2;60; ;5,7142858505249
3;2;7;1;10;3;1;7;3;1,5;2;50;0;7
2;2;0;1;4;3;3;5;6,5;6;2;36;0;7
4;2;1;2;4;3;2;5;5,5;3,5;2;49;0;4,7142858505249
3;2;95;2;8;3;2;5;6;6;2;39; ;7
3;2;8;1;8;3;1;7;5,5;5;1;60;0;7
2;2;100;2;4;3;1;7;5;4;3;50;0;6,42857122421265
4;2;92;1;6;3;7;3;4,5;6;2;41;1;7
3;1;50;2;6;3;1;7;4,5;3,5;2;60;0;5,57142877578735
4;3;48;1;6;3;4;4;4;4;2;21; ;4
3;2;0;1;11;3;1;7;4;4;3;33; ;6,7142858505249
3;2;30;2;2;3;2;4;3;2;2;29;0;6,57142877578735
3;2;100;1;6;3;1;6;2;1,5;1;63;0;6,7142858505249
3;2;0;2;8;3;1;5;6;5;2;65;0;5,57142877578735
4;2;99;2;6;3;4;4;3;4,5;2;43;1;5,7142858505249
3;2;0;2;6;3;1;7;3;4;1;35;1;6,7142858505249
3;2;100;1;6;3;7;1;4;3,5;1;45;0;4
3;2;0;2;5;3;1;7;5;3,5;2;48;0;7
3;2;1;2;8;3;1;7;7;4;3;55;0;7
3;2;38;1;3;3;2;6;5,5;6,5;3;47;1;7
3;2;9;2;6;3;6;6;6;6;2;32; ;5,42857122421265
2;3;61;2;6;3;1;5;5,5;6;2;23;1;7
3;2;0;2;4;3;1;7;5,5;6;2;28;1;6,57142877578735
3;2;1;2;7;3;1;7;5;3;3;56;0;6,57142877578735
3;2;100;1;6;3;5;2;6;4;2;32;0;7
3;2;0;2;6;3;1;5;3,5;3,5;1;54; ;6,14285707473755
3;2;56;1;3;3;4;5;7;7;3;65; ;7
3;2;1;1;9;3;1;5;4,5;2,5;2;49;0;5,57142877578735
3;2;1;1;5;3;3;3;5,5;2,5;3;56;0;6,57142877578735
3;2;70;2;1;3;4;4;7;7;3;45; ;7
3;2;82;1;5;3;4;5;5,5;5;3;51;0;6,57142877578735
3;2;0;1;8;3;1;7;6,5;4,5;3;58;0;6,85714292526245
3;2;0;2;6;3;2;4;6,5;4,5;1;48;0;6
3;2;50;1;6;3;7;1;5,5;4;3;31;0;5,7142858505249
3;2;0;2;6;3;3;5;6;4;2;45;0;5,2857141494751
3;2;0;1;6;3;1;7;3,5;5,5;2;46;1;7
3;2;32;2;6;3;2;4;5;6;3;55;1;4,42857122421265
3;2;50;1;6;3;3;7;6;6;2;52; ;6,57142877578735
3;2;1;2;8;3;1;5;5;2,5;3;61;0;4,42857122421265
3;2;1;2;5;3;2;5;5,5;4;1;62;0;6,57142877578735
3;2;3;1;1;3;1;7;5;3;2;60;0;5,7142858505249
3;2;72;1;6;3;1;7;5;4;3;61;0;5,7142858505249
2;1;1;1;3;3;2;6;5;4;1;61;0;6,42857122421265
2;1;14;1;7;3;2;4;2,5;3;3;36;1;5,57142877578735
3;2;0;1;3;3;5;5;5,5;3;1;63;0;7
3;2;52;2;6;3;1;7;4,5;3;3;41;0;7
3;2;0;2;9;3;3;6;4,5;3;2;63;0;6,57142877578735
3;2;1;1;1;3;3;4;5;5,5;2;64;1;6,85714292526245
3;2;0;2;11;3;7;1;7;7;3;45; ;1
2;2;81;1;6;3;5;3;6,5;6;2;29;0;5
3;2;21;1;6;3;2;6;4,5;4;2;53;0;6,2857141494751
3;2;62;2;4;3;2;3;5;4,5;2;62;0;6
3;2;25;1;7;3;5;3;4,5;4,5;1;64; ;4,14285707473755
3;2;0;1;7;3;2;6;5;3;3;41;0;6,85714292526245
3;2;0;2;6;3;1;3;6,5;4,5;2;30;0;7
3;1;100;1;6;3;1;7;6;7;3;49;1;7
3;2;93;1;6;3;1;6;4,5;2,5;2;52;0;6,7142858505249
3;2;0;2;8;3;3;4;4,5;4,5;2;47; ;4,7142858505249
3;1;30;2;5;3;2;6;4;1,5;2;39;0;7
3;2;1;1;6;3;1;7;7;7;2;45; ;7
3;2;100;2;6;3;3;5;6,5;6;1;31;0;5,2857141494751
3;1;0;2;4;3;1;6;7;4;2;43;0;6,14285707473755
3;2;10;1;5;3;1;7;4;3;2;52;0;6,14285707473755
3;2;80;1;8;3;1;7;7;6;1;60;0;5,2857141494751
3;2;10;2;6;3;1;7;5,5;6;2;60;1;7
3;2;73;1;6;3;1;6;4;4;2;36; ;7
3;2;1;1;4;3;4;5;4,5;5;3;25;1;5,14285707473755
3;1;2;1;4;3;5;3;7;7;2;59; ;6,57142877578735
3;2;8;2;6;3;2;6;5;4;2;66;0;6,85714292526245
3;2;1;1;1;3;1;1;7;7;2;59; ;6,14285707473755
3;2;0;2;7;3;3;3;5,5;3,5;2;56;0;7
3;2;0;2;6;3;1;7;3,5;1;3;24;0;7
3;2;0;2;3;3;1;4;4;7;1;52;1;7
3;2;74;2;3;3;1;7;5;4;3;36;0;7
3;2;0;2;8;3;1;6;3,5;4,5;2;64;1;7
3;2;19;2;7;3;3;5;5,5;5;2;49;0;6,57142877578735
3;2;0;2;9;3;1;7;1,5;2,5;2;52;1;7
3;2;2;1;6;3;4;5;2,5;3;3;37;1;6,42857122421265
3;1;70;1;9;3;1;4;5;3,5;3;59;0;6
3;2;0;2;6;3;2;2;4,5;5;1;45;1;6,14285707473755
3;1;4;1;1;3;4;2;4,5;4,5;1;50; ;3,57142853736877
3;2;0;2;9;3;5;1;5;5;2;59; ;3,71428561210632
3;2;0;2;7;3;4;1;5,5;5,5;3;50; ;6,14285707473755
3;2;14;1;4;3;5;3;4,5;5;2;33;1;5,14285707473755
3;2;50;1;4;3;4;4;5;3,5;2;45;0;6,85714292526245
3;2;100;1;6;3;1;7;5,5;3,5;1;57;0;7
3;2;17;1;7;3;1;7;4;4;2;52; ;6,85714292526245
3;2;0;1;8;3;5;6;5,5;5;3;38;0;6
4;3;50;2;6;3;4;3;4;3,5;2;33;0;3,71428561210632
2;2;0;1;1;3;1;7;7;4,5;3;22;0;6,57142877578735
3;2;0;2;3;3;5;2;5;3;2;58;0;2,57142853736877
3;2;6;2;6;3;1;7;4;4;3;49; ;6,85714292526245
3;2;1;1;9;3;2;6;5,5;4,5;2;59;0;6,85714292526245
3;2;21;1;6;3;1;5;5,5;6;2;43;1;6,42857122421265
3;2;0;1;2;3;4;2;5;5;2;63; ;7
3;1;21;1;4;3;2;5;6,5;6;2;60;0;6,7142858505249
2;2;1;1;6;3;3;5;5;4,5;2;62;0;6,42857122421265
3;2;10;1;6;3;1;2;2,5;2,5;3;35; ;3,85714292526245
3;2;98;2;6;3;6;1;7;7;3;56; ;3,57142853736877
3;2;0;2;5;3;1;6;6,5;5;2;65;0;4,57142877578735
3;2;93;2;9;3;3;5;4;3,5;3;24;0;4,2857141494751
3;2;22;1;6;3;1;7;3,5;3;3;52;0;6,85714292526245
3;2;1;1;7;3;5;5;6;6;3;34; ;7
3;1;30;1;6;3;5;5;5;5;3;21; ;5
3;2;0;2;6;3;1;7;6,5;6;1;46;0;4,2857141494751
3;2;0;2;9;3;2;6;5,5;3,5;1;50;0;5
3;2;0;2;7;3;4;1;7;5,5;2;62;0;5,2857141494751
3;2;20;2;6;3;1;5;5;2;3;58;0;6,57142877578735
3;2;1;2;5;3;1;6;4;3;1;63;0;5,85714292526245
3;2;48;2;6;3;4;4;3,5;4;1;31;1;4,42857122421265
3;2;1;1;6;3;3;5;7;7;1;34; ;4,7142858505249
3;2;0;1;6;3;3;7;4,5;3;3;65;0;7
3;2;59;1;6;3;2;5;5;6;1;36;1;5,42857122421265
3;2;1;1;4;3;5;3;6,5;6;2;39;0;5,14285707473755
4;2;0;2;9;3;2;4;4;3,5;2;56;0;4,85714292526245
3;2;61;2;8;3;1;7;7;7;3;40; ;7
3;2;74;1;6;3;1;7;6;6;2;57; ;6,57142877578735
3;2;2;2;5;3;3;4;5,5;3,5;2;53;0;6,42857122421265
3;2;10;2;5;3;4;3;7;6,5;1;36;0;6
3;2;0;1;9;3;2;4;6;6;2;51; ;3,28571438789368
3;2;1;1;8;3;4;1;5,5;4,5;1;58;0;5,14285707473755
2;2;0;2;6;3;3;1;6;6,5;2;61;1;3,14285707473755
3;2;0;1;6;3;1;7;4;7;1;54;1;7
3;2;100;2;5;3;1;5;2,5;1,5;2;53;0;7
3;2;4;2;6;3;5;2;4,5;3,5;3;41;0;5,57142877578735
3;2;1;1;6;3;2;4;4;5,5;1;1978;1;6,85714292526245
4;3;25;1;6;3;4;4;3,5;3;1;36;0;5
3;2;100;1;6;3;6;1;4,5;6;2;31;1;1
3;2;0;2;3;3;1;7;6,5;4;2;39;0;5,42857122421265
3;2;0;2;6;3;4;4;5;5;2;57; ;4
3;2;90;2;6;3;5;4;5;5;2;23; ;5,85714292526245
3;2;1;1;4;3;2;6;4,5;3,5;2;61;0;7
3;2;0;2;6;3;3;4;4,5;3,5;2;47;0;6,42857122421265
3;2;0;2;10;3;1;7;2,5;1;2;63;0;7
3;2;1;1;6;3;1;7;5;6;2;53;1;7
3;2;1;2;3;3;2;7;4,5;3;2;38;0;6,7142858505249
2;1;8;2;8;3;2;5;5,5;4;2;66;0;4,85714292526245
3;2;29;1;8;3;1;3;4,5;5;3;45;1;6,57142877578735
3;2;21;2;8;3;2;6;6;6;2;56; ;7
3;2;0;2;6;3;6;2;4;4;3;50; ;6,85714292526245
3;2;41;1;4;3;1;6;6;6;2;40; ;5,57142877578735
3;2;1;2;10;3;1;6;5;5;2;55; ;5,2857141494751
3;2;50;1;7;3;2;5;5,5;4,5;3;53;0;6,42857122421265
4;2;0;1;9;3;5;3;5;5;1;60; ;6
3;2;0;1;7;3;1;7;5;2,5;3;59;0;7
3;2;60;1;6;3;7;1;7;4,5;2;37;0;4,14285707473755
3;2;22;1;6;3;1;7;4,5;4;3;41;0;6,42857122421265
3;2;0;2;6;3;1;7;7;5;3;59;0;7
3;2;20;2;4;3;2;6;5;3;3;49;0;6,2857141494751
3;2;1;1;8;3;2;6;5,5;5;3;56;0;5,57142877578735
3;1;1;2;7;3;4;3;4;4;3;47; ;6
2;2;50;1;1;3;4;4;5;5;3;50; ;6,42857122421265
3;1;35;2;6;3;6;6;4;4;3;37; ;4,14285707473755
3;1;0;2;5;3;3;4;5;5,5;2;25;1;6
3;2;81;1;1;3;1;7;5,5;3;1;52;0;7
3;2;0;1;6;3;5;3;3;3;3;40; ;5,7142858505249
3;2;1;1;6;3;1;7;5;5,5;1;33;1;6,57142877578735
3;2;74;1;6;3;1;7;5,5;4,5;3;28;0;6,7142858505249
3;2;1;1;9;3;1;7;4,5;3,5;2;65;0;7
3;2;0;1;10;3;1;7;7;7;2;53; ;7
3;2;60;1;5;3;1;7;5;3,5;3;50;0;6,85714292526245
3;2;25;1;6;3;4;4;4;4;1;39; ;4
3;2;30;2;3;3;1;7;4,5;5;2;49;1;5,2857141494751
3;2;20;2;3;3;5;3;6;5,5;2;45;0;4,42857122421265
3;1;1;2;7;3;5;4;5;2;3;44;0;7
3;2;51;2;7;3;2;7;7;5;3;44;0;7
3;2;6;2;5;3;1;3;4;5,5;2;55;1;7
3;2;50;1;5;3;2;5;3;2;3;44;0;6,2857141494751
3;2;1;1;7;3;2;4;5,5;5;1;41;0;4,85714292526245
3;2;99;2;6;3;4;3;4,5;1,5;1;42;0;6,57142877578735
3;2;0;2;6;3;5;3;3,5;4,5;2;33;1;4
3;2;0;2;7;3;1;7;4;3;3;29;0;7
3;2;76;1;6;3;1;7;4,5;4,5;1;51; ;7
2;2;100;1;6;3;1;7;7;7;1;19; ;6
3;2;60;1;6;3;6;1;7;7;2;28; ;6,7142858505249
3;2;28;2;4;3;7;6;7;6,5;2;23;0;6,57142877578735
3;2;0;2;6;3;2;6;5;5;2;52; ;5,7142858505249
3;2;50;2;3;3;1;6;1;1;3;52; ;6,57142877578735
3;2;1;2;7;3;2;6;4,5;4,5;3;40; ;6,42857122421265
3;2;0;1;4;3;1;3;3;3;2;40; ;7
4;2;10;2;6;3;4;4;5;4,5;3;39;0;6,14285707473755
3;2;1;1;6;3;4;4;4;4;2;33; ;5,14285707473755
3;2;0;1;8;3;2;4;4;4,5;1;51;1;6,85714292526245
3;2;0;2;4;3;2;2;2,5;2;3;40;0;4
2;1;1;1;6;3;3;4;5;5;3;45; ;6,2857141494751
3;2;1;1;6;3;1;7;4;4;3;40; ;7
3;2;20;1;6;3;3;3;4;4;2;30; ;4,42857122421265
2;2;20;2;6;3;1;4;7;7;2;40; ;6,7142858505249
3;2;0;1;4;3;5;5;6;6,5;2;28;1;6
3;2;15;1;3;3;2;5;4,5;5;2;53;1;6,14285707473755
3;2;89;1;7;3;1;7;6;5;2;49;0;7
3;2;0;2;5;3;2;5;5;4,5;1;55;0;6,2857141494751
3;2;30;1;2;3;1;6;7;4,5;2;33;0;6,57142877578735
